               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.019297,           0.0080904,                   0,             0.99473,             0.92857,              0.9489,             0.51697,            0.031495,           0.0032294,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020159,           0.0080449,                   0,             0.99128,             0.92857,             0.95563,             0.55762,             0.03089,           0.0030875,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.019843,           0.0085336,                   0,             0.99175,             0.92857,               0.945,             0.52353,            0.031558,           0.0031953,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019096,           0.0084294,                   0,             0.99024,             0.92857,               0.935,             0.52571,             0.03103,           0.0033246,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.019015,           0.0073176,                   0,             0.99071,             0.92857,             0.92895,             0.56651,            0.028884,            0.003437,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.019567,           0.0080129,                   0,              0.9888,             0.92857,             0.93242,              0.5627,            0.028625,            0.003372,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.01801,           0.0081229,                   0,             0.98503,             0.92857,             0.93284,             0.51526,             0.02983,           0.0033729,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018862,           0.0077086,                   0,             0.99127,             0.92857,             0.92889,              0.5096,            0.030864,           0.0034467,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.018561,           0.0086684,                   0,               0.993,             0.92857,             0.92928,             0.54373,            0.030271,           0.0034267,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018962,           0.0087009,                   0,             0.99375,             0.92857,             0.92947,             0.55162,            0.029721,           0.0034192,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.01864,           0.0082884,                   0,             0.99361,             0.92857,             0.93521,             0.53456,            0.030261,           0.0034058,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017815,           0.0073746,                   0,             0.99319,             0.92857,             0.92947,             0.54049,            0.029615,           0.0035394,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017509,           0.0077436,                   0,             0.99253,             0.92857,             0.93601,             0.56338,            0.028822,           0.0034104,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017941,           0.0076987,                   0,             0.99228,             0.92857,             0.93532,             0.57223,            0.028801,           0.0032937,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017172,           0.0075486,                   0,             0.99201,             0.92857,             0.93756,             0.57577,            0.028445,           0.0032249,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.017375,           0.0081549,                   0,             0.99305,             0.92857,             0.93725,             0.56422,            0.028956,            0.003269,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018281,            0.007549,                   0,              0.9919,             0.92857,             0.94056,             0.54605,            0.029109,           0.0032813,                   0,            0.000694,            0.000694,            0.000694
                  96,              0.0172,            0.007472,                   0,             0.99132,             0.92857,             0.94349,             0.55437,            0.029268,           0.0032555,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.01795,           0.0076646,                   0,             0.99221,             0.92857,              0.9419,               0.542,            0.029608,           0.0032644,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018433,           0.0081639,                   0,             0.99286,             0.92857,             0.94161,             0.54806,            0.029415,           0.0033357,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017784,            0.007636,                   0,             0.99283,             0.92857,             0.93963,              0.5584,            0.029214,           0.0033649,                   0,            0.000298,            0.000298,            0.000298
